,name,text
2179,Ondu Inversion // Ondu Skyruins,Destroy all nonland permanents.
2180,Devastating Mastery,"You may pay {2}{W}{W} rather than pay this spell's mana cost.
If the {2}{W}{W} cost was paid, an opponent chooses up to two nonland permanents they control and returns them to their owner's hand.
Destroy all nonland permanents."
2181,Multiple Choice,"If X is 1, scry 1, then draw a card.
If X is 2, you may choose a player. They return a creature they control to its owner's hand.
If X is 3, create a 4/4 blue and red Elemental creature token.
If X is 4 or more, do all of the above."
2182,Tempted by the Oriq,"For each opponent, gain control of up to one target creature or planeswalker that player controls with mana value 3 or less."
2183,Ingenious Mastery,"You may pay {2}{U} rather than pay this spell's mana cost.
If the {2}{U} cost was paid, you draw three cards, then an opponent creates two Treasure tokens and they scry 2. If that cost wasn't paid, you draw X cards."
2184,Fervent Mastery,"You may pay {2}{R}{R} rather than pay this spell's mana cost.
If the {2}{R}{R} cost was paid, an opponent discards any number of cards, then draws that many cards.
Search your library for up to three cards, put them into your hand, shuffle, then discard three cards at random."
2185,Draconic Intervention,"As an additional cost to cast this spell, exile an instant or sorcery card from your graveyard.
Draconic Intervention deals X damage to each non-Dragon creature, where X is the exiled card's mana value. If a creature dealt damage this way would die this turn, exile it instead.
Exile Draconic Intervention."
2186,Crackle with Power,Crackle with Power deals five times X damage to each of up to X targets.
2187,Exponential Growth,"Until end of turn, double target creature's power X times."
2188,Verdant Mastery,"You may pay {3}{G} rather than pay this spell's mana cost.
Search your library for up to four basic land cards and reveal them. Put one of them onto the battlefield tapped under an opponent's control if the {3}{G} cost was paid. Put two of them onto the battlefield tapped under your control and the rest into your hand. Then shuffle."
2189,Ecological Appreciation,Search your library and graveyard for up to four creature cards with different names that each have mana value X or less and reveal them. An opponent chooses two of those cards. Shuffle the chosen cards into your library and put the rest onto the battlefield. Exile Ecological Appreciation.
2190,Expressive Iteration,"Look at the top three cards of your library. Put one of them into your hand, put one of them on the bottom of your library, and exile one of them. You may play the exiled card this turn."
2191,Rip Apart,"Choose one —
• Rip Apart deals 3 damage to target creature or planeswalker.
• Destroy target artifact or enchantment."
2192,Silverquill Command,"Choose two —
• Target creature gets +3/+3 and gains flying until end of turn.
• Return target creature card with mana value 2 or less from your graveyard to the battlefield.
• Target player draws a card and loses 1 life.
• Target opponent sacrifices a creature."
2193,Witherbloom Command,"Choose two —
• Target player mills three cards, then you return a land card from your graveyard to your hand.
• Destroy target noncreature, nonland permanent with mana value 2 or less.
• Target creature gets -3/-1 until end of turn.
• Target opponent loses 2 life and you gain 2 life."
2194,Culling Ritual,Destroy each nonland permanent with mana value 2 or less. Add {B} or {G} for each permanent destroyed this way.
2195,Culmination of Studies,"Exile the top X cards of your library. For each land card exiled this way, create a Treasure token. For each blue card exiled this way, draw a card. For each red card exiled this way, Culmination of Studies deals 1 damage to each opponent."
2196,Blot Out the Sky,"Create X tapped 2/1 white and black Inkling creature tokens with flying. If X is 6 or more, destroy all noncreature, nonland permanents."
2197,Body of Research,"Create a 0/0 green and blue Fractal creature token. Put X +1/+1 counters on it, where X is the number of cards in your library."
2198,Mass Manipulation,Gain control of X target creatures and/or planeswalkers.
2199,Awaken the Erstwhile,"Each player discards all the cards in their hand, then creates that many 2/2 black Zombie creature tokens."
2200,Wild Swing,Choose three target nonenchantment permanents. Destroy one of them at random.
2201,Feral Lightning,Create three 3/1 red Elemental creature tokens with haste. Exile them at the beginning of the next end step.
2202,Ashuza's Breath,"For each creature, choose a number from 0 to 2 at random. Ashuza's Breath deals that much damage to that creature."
2203,Depopulate,Each player who controls a multicolored creature draws a card. Then destroy all creatures.
2204,Cut Your Losses,"Casualty 2 (As you cast this spell, you may sacrifice a creature with power 2 or greater. When you do, copy this spell and you may choose a new target for the copy.)
Target player mills half their library, rounded down."
2205,Cut of the Profits,"Casualty 3 (As you cast this spell, you may sacrifice a creature with power 3 or greater. When you do, copy this spell.)
You draw X cards and you lose X life."
2206,Structural Assault,"Destroy all artifacts, then Structural Assault deals damage to each creature equal to the number of artifacts that were put into graveyards from the battlefield this turn."
2207,Corpse Explosion,"As an additional cost to cast this spell, exile a creature card from your graveyard.
Corpse Explosion deals damage equal to the exiled card's power to each creature and each planeswalker."
2208,Hostile Takeover,Up to one target creature has base power and toughness 1/1 until end of turn. Up to one other target creature has base power and toughness 4/4 until end of turn. Then Hostile Takeover deals 3 damage to each creature.
2209,Incandescent Aria,Incandescent Aria deals 3 damage to each nontoken creature.
2210,Meeting of the Five,Exile the top ten cards of your library. You may cast spells with exactly three colors from among them this turn. Add {W}{W}{U}{U}{B}{B}{R}{R}{G}{G}. Spend this mana only to cast spells with exactly three colors.
2211,Startled Awake // Persistent Nightmare,"Target opponent mills thirteen cards.
{3}{U}{U}: Put Startled Awake from your graveyard onto the battlefield transformed. Activate only as a sorcery."
