,name,text
2297,Rushing River,"Kicker—Sacrifice a land. (You may sacrifice a land in addition to any other costs as you cast this spell.)
Return target nonland permanent to its owner's hand. If this spell was kicked, return another target nonland permanent to its owner's hand."
2298,Death Bomb,"As an additional cost to cast this spell, sacrifice a creature.
Destroy target nonblack creature. It can't be regenerated. Its controller loses 2 life."
2299,Shriek of Dread,Target creature gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)
2300,Magma Burst,"Kicker—Sacrifice two lands. (You may sacrifice two lands in addition to any other costs as you cast this spell.)
Magma Burst deals 3 damage to any target. If this spell was kicked, it deals 3 damage to another target."
2301,Singe,Singe deals 1 damage to target creature. That creature becomes black until end of turn.
2302,Falling Timber,"Kicker—Sacrifice a land. (You may sacrifice a land in addition to any other costs as you cast this spell.)
Prevent all combat damage target creature would deal this turn. If this spell was kicked, prevent all combat damage another target creature would deal this turn."
2303,Skyshroud Blessing,"All lands gain shroud until end of turn. (They can't be the targets of spells or abilities.)
Draw a card."
2304,Daring Leap,Target creature gets +1/+1 and gains flying and first strike until end of turn.
2305,Malicious Advice,"Tap X target artifacts, creatures, and/or lands. You lose X life."
2306,Defiant Stand,"Cast this spell only during the declare attackers step and only if you've been attacked this step.
Target creature gets +1/+3 until end of turn. Untap that creature."
2307,Command of Unsummoning,"Cast this spell only during the declare attackers step and only if you've been attacked this step.
Return one or two target attacking creatures to their owner's hand."
2308,Scorching Winds,"Cast this spell only during the declare attackers step and only if you've been attacked this step.
Scorching Winds deals 1 damage to each attacking creature."
2309,Treetop Defense,"Cast this spell only during the declare attackers step and only if you've been attacked this step.
Creatures you control gain reach until end of turn. (They can block creatures with flying.)"
2310,Admiral's Order,"Raid — If you attacked this turn, you may pay {U} rather than pay this spell's mana cost.
Counter target spell."
2311,Release to the Wind,"Exile target nonland permanent. For as long as that card remains exiled, its owner may cast it without paying its mana cost."
2312,Vona's Hunger,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
Each opponent sacrifices a creature. If you have the city's blessing, instead each opponent sacrifices half the creatures they control, rounded up."
2313,Liliana's Triumph,"Each opponent sacrifices a creature. If you control a Liliana planeswalker, each opponent also discards a card."
2314,Heliod's Intervention,"Choose one —
• Destroy X target artifacts and/or enchantments.
• Target player gains twice X life."
2315,Eat to Extinction,Exile target creature or planeswalker. Look at the top card of your library. You may put that card into your graveyard.
2316,Erebos's Intervention,"Choose one —
• Target creature gets -X/-X until end of turn. You gain X life.
• Exile up to twice X target cards from graveyards."
2317,Thassa's Intervention,"Choose one —
• Look at the top X cards of your library. Put up to two of them into your hand and the rest on the bottom of your library in a random order.
• Counter target spell unless its controller pays twice {X}."
2318,Inscription of Abundance,"Kicker {2}{G}
Choose one. If this spell was kicked, choose any number instead.
• Put two +1/+1 counters on target creature.
• Target player gains X life, where X is the greatest power among creatures they control.
• Target creature you control fights target creature you don't control."
2319,Soul Shatter,Each opponent sacrifices a creature or planeswalker with the highest mana value among creatures and planeswalkers they control.
2320,Hagra Mauling // Hagra Broodpit,"This spell costs {1} less to cast if an opponent controls no basic lands.
Destroy target creature."
2321,Valakut Awakening // Valakut Stoneforge,"Put any number of cards from your hand on the bottom of your library, then draw that many cards plus one."
2322,Semester's End,"Exile any number of target creatures and/or planeswalkers you control. At the beginning of the next end step, return each of them to the battlefield under its owner's control. Each of them enters the battlefield with an additional +1/+1 counter on it if it's a creature and an additional loyalty counter on it if it's a planeswalker."
2323,Baleful Mastery,"You may pay {1}{B} rather than pay this spell's mana cost.
If the {1}{B} cost was paid, an opponent draws a card.
Exile target creature or planeswalker."
2324,Fracture,"Destroy target artifact, enchantment, or planeswalker."
2325,Mortality Spear,"This spell costs {2} less to cast if you gained life this turn.
Destroy target nonland permanent."
2326,Decisive Denial,"Choose one —
• Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)
• Counter target noncreature spell unless its controller pays {3}."
2327,Vanishing Verse,Exile target monocolored permanent.
2328,Rushed Rebirth,"Choose target creature. When that creature dies this turn, search your library for a creature card with lesser mana value, put it onto the battlefield tapped, then shuffle."
2329,Double Major,"Copy target creature spell you control, except it isn't legendary if the spell is legendary. (A copy of a creature spell becomes a token.)"
2330,Quandrix Command,"Choose two —
• Return target creature or planeswalker to its owner's hand.
• Counter target artifact or enchantment spell.
• Put two +1/+1 counters on target creature.
• Target player shuffles up to three target cards from their graveyard into their library."
2331,Prismari Command,"Choose two —
• Prismari Command deals 2 damage to any target.
• Target player draws two cards, then discards two cards.
• Target player creates a Treasure token.
• Destroy target artifact."
2332,Lorehold Command,"Choose two —
• Create a 3/2 red and white Spirit creature token.
• Creatures you control get +1/+0 and gain indestructible and haste until end of turn.
• Lorehold Command deals 3 damage to any target. Target player gains 3 life.
• Sacrifice a permanent, then draw two cards."
2333,Harness Infinity,"Exchange your hand and graveyard.
Exile Harness Infinity."
2334,Magma Opus,"Magma Opus deals 4 damage divided as you choose among any number of targets. Tap two target permanents. Create a 4/4 blue and red Elemental creature token. Draw two cards.
{U/R}{U/R}, Discard Magma Opus: Create a Treasure token."
2335,Precognitive Perception,"Draw three cards.
Addendum — If you cast this spell during your main phase, instead scry 3, then draw three cards."
